PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 9               | 9        | 1            | 3             | 6              | 
| 3        | 1          | 1               | 1        | 1            | 2             | 4              | 
| 4        | 1          | 1               | 1        | 1            | 1             | 2              | 
| 5        | 2          | 3               | 2        | 3            | 2             | 5              | 
| 6        | 12         | 20              | 9        | 2            | 1             | 9              | 
| 7        | 2          | 9               | 8        | 4            | 1             | 4              | 
| 8        | 2          | 6               | 5        | 4            | 1             | 4              | 
| 9        | 12         | 12              | 1        | 5, 7         | 3             | 9              | 
| 10       | 4          | 11              | 8        | 4            | 2             | 7              | 
| 11       | 10         | 11              | 2        | 7            | 1             | 3              | 
| 12       | 4          | 13              | 10       | 5            | 1             | 5              | 
| 13       | 14         | 17              | 4        | 12           | 1             | 3              | 
| 14       | 10         | 13              | 4        | 2            | 2             | 3              | 
| 15       | 12         | 19              | 8        | 10, 11       | 2             | 1              | 
| 16       | 14         | 20              | 7        | 12           | 3             | 9              | 
| 17       | 7          | 16              | 10       | 5            | 2             | 6              | 
| 18       | 17         | 26              | 10       | 14           | 2             | 10             | 
| 19       | 18         | 24              | 7        | 13           | 3             | 3              | 
| 20       | 24         | 30              | 7        | 16, 17       | 2             | 9              | 
| 21       | 14         | 23              | 10       | 10           | 1             | 7              | 
| 22       | 31         | 34              | 4        | 9, 20        | 1             | 6              | 
| 23       | 21         | 23              | 3        | 6            | 2             | 6              | 
| 24       | 10         | 16              | 7        | 7            | 1             | 1              | 
| 25       | 27         | 35              | 9        | 19, 21, 24   | 2             | 5              | 
| 26       | 27         | 32              | 6        | 15, 18, 23   | 2             | 3              | 
| 27       | 27         | 30              | 4        | 18           | 1             | 5              | 
| 28       | 35         | 39              | 5        | 8, 19, 22    | 2             | 9              | 
| 29       | 33         | 42              | 10       | 3, 26, 27    | 1             | 8              | 
| 30       | 36         | 39              | 4        | 2, 20, 25    | 1             | 10             | 
| 31       | 40         | 44              | 5        | 24, 28       | 1             | 4              | 
| 32       | 44         | 44              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 25 completed at time period 35 instead of time period 34? 

Write a brief explanation without listing reasons. 

OUTPUT:
