PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 2               | 2        | 1            | 3             | 9              | 
| 3        | 1          | 3               | 3        | 1            | 1             | 3              | 
| 4        | 1          | 9               | 9        | 1            | 3             | 7              | 
| 5        | 10         | 11              | 2        | 4            | 4             | 10             | 
| 6        | 4          | 5               | 2        | 3            | 4             | 1              | 
| 7        | 3          | 6               | 4        | 2            | 1             | 2              | 
| 8        | 4          | 11              | 8        | 3            | 3             | 7              | 
| 9        | 12         | 14              | 3        | 7, 8         | 2             | 2              | 
| 10       | 7          | 15              | 9        | 7            | 2             | 3              | 
| 11       | 16         | 22              | 7        | 10           | 1             | 8              | 
| 12       | 23         | 32              | 10       | 11           | 3             | 5              | 
| 13       | 12         | 19              | 8        | 5            | 1             | 1              | 
| 14       | 20         | 26              | 7        | 13           | 2             | 7              | 
| 15       | 33         | 40              | 8        | 9, 12, 14    | 1             | 10             | 
| 16       | 10         | 15              | 6        | 4            | 2             | 6              | 
| 17       | 3          | 4               | 2        | 2            | 2             | 10             | 
| 18       | 5          | 8               | 4        | 17           | 4             | 6              | 
| 19       | 12         | 20              | 9        | 5            | 2             | 1              | 
| 20       | 20         | 22              | 3        | 9, 13        | 2             | 2              | 
| 21       | 16         | 17              | 2        | 16           | 1             | 9              | 
| 22       | 9          | 15              | 7        | 18           | 1             | 3              | 
| 23       | 18         | 18              | 1        | 2, 6, 21     | 2             | 4              | 
| 24       | 27         | 29              | 3        | 14, 23       | 1             | 4              | 
| 25       | 21         | 29              | 9        | 19           | 4             | 10             | 
| 26       | 10         | 14              | 5        | 4            | 1             | 8              | 
| 27       | 30         | 32              | 3        | 18, 25, 26   | 3             | 5              | 
| 28       | 41         | 41              | 1        | 15, 22, 23   | 2             | 10             | 
| 29       | 30         | 38              | 9        | 10, 18, 24   | 4             | 10             | 
| 30       | 42         | 48              | 7        | 20, 28       | 1             | 9              | 
| 31       | 33         | 36              | 4        | 3, 27        | 1             | 3              | 
| 32       | 48         | 48              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 29 not completed at time period 116? 

Write a brief explanation without listing reasons. 

OUTPUT:
