PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 4               | 4        | 1            | 1             | 1              | 
| 3        | 1          | 1               | 1        | 1            | 1             | 1              | 
| 4        | 1          | 8               | 8        | 1            | 1             | 7              | 
| 5        | 2          | 2               | 1        | 3            | 1             | 3              | 
| 6        | 5          | 14              | 10       | 2            | 1             | 1              | 
| 7        | 15         | 22              | 8        | 6            | 2             | 1              | 
| 8        | 2          | 5               | 4        | 3            | 1             | 9              | 
| 9        | 6          | 6               | 1        | 8            | 2             | 9              | 
| 10       | 15         | 24              | 10       | 6            | 2             | 4              | 
| 11       | 37         | 43              | 7        | 5            | 1             | 8              | 
| 12       | 23         | 31              | 9        | 7            | 1             | 1              | 
| 13       | 32         | 32              | 1        | 12           | 3             | 4              | 
| 14       | 26         | 29              | 4        | 6            | 1             | 9              | 
| 15       | 9          | 15              | 7        | 4            | 2             | 9              | 
| 16       | 25         | 34              | 10       | 10           | 2             | 6              | 
| 17       | 36         | 36              | 1        | 16           | 1             | 9              | 
| 18       | 33         | 38              | 6        | 13, 14       | 1             | 4              | 
| 19       | 39         | 39              | 1        | 17, 18       | 1             | 5              | 
| 20       | 27         | 34              | 8        | 10           | 1             | 5              | 
| 21       | 30         | 32              | 3        | 5            | 3             | 4              | 
| 22       | 16         | 25              | 10       | 9            | 1             | 3              | 
| 23       | 30         | 32              | 3        | 14           | 3             | 2              | 
| 24       | 35         | 41              | 7        | 12, 22, 23   | 2             | 7              | 
| 25       | 44         | 44              | 1        | 11, 16, 20   | 1             | 6              | 
| 26       | 26         | 34              | 9        | 15, 22       | 1             | 1              | 
| 27       | 40         | 46              | 7        | 5, 19        | 1             | 8              | 
| 28       | 35         | 38              | 4        | 14, 16, 21   | 1             | 10             | 
| 29       | 44         | 50              | 7        | 18, 22, 28   | 2             | 4              | 
| 30       | 45         | 50              | 6        | 24, 25, 26   | 2             | 8              | 
| 31       | 47         | 50              | 4        | 8, 27        | 1             | 10             | 
| 32       | 50         | 50              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 25 not completed after time period 44? 

Write a brief explanation without listing reasons. 

OUTPUT:
