PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 6               | 6        | 1            | 3             | 6              | 
| 3        | 1          | 10              | 10       | 1            | 1             | 2              | 
| 4        | 1          | 8               | 8        | 1            | 2             | 1              | 
| 5        | 7          | 13              | 7        | 2            | 1             | 2              | 
| 6        | 14         | 15              | 2        | 5            | 1             | 4              | 
| 7        | 7          | 10              | 4        | 2            | 4             | 9              | 
| 8        | 9          | 9               | 1        | 4            | 1             | 10             | 
| 9        | 14         | 17              | 4        | 5            | 4             | 4              | 
| 10       | 7          | 13              | 7        | 2            | 2             | 3              | 
| 11       | 11         | 19              | 9        | 7            | 4             | 5              | 
| 12       | 18         | 23              | 6        | 9            | 3             | 9              | 
| 13       | 16         | 17              | 2        | 10           | 3             | 2              | 
| 14       | 20         | 25              | 6        | 11           | 1             | 3              | 
| 15       | 16         | 21              | 6        | 6            | 3             | 1              | 
| 16       | 22         | 28              | 7        | 15           | 1             | 10             | 
| 17       | 22         | 25              | 4        | 15           | 2             | 8              | 
| 18       | 26         | 28              | 3        | 8, 17        | 2             | 4              | 
| 19       | 10         | 18              | 9        | 8            | 2             | 9              | 
| 20       | 19         | 19              | 1        | 7, 13, 19    | 1             | 6              | 
| 21       | 11         | 14              | 4        | 3            | 1             | 3              | 
| 22       | 26         | 32              | 7        | 8, 14        | 3             | 9              | 
| 23       | 20         | 21              | 2        | 11, 21       | 4             | 1              | 
| 24       | 24         | 28              | 5        | 10, 12       | 2             | 8              | 
| 25       | 14         | 21              | 8        | 10           | 2             | 5              | 
| 26       | 26         | 26              | 1        | 17, 25       | 4             | 9              | 
| 27       | 29         | 34              | 6        | 3, 24, 26    | 4             | 6              | 
| 28       | 33         | 41              | 9        | 15, 22, 23   | 1             | 6              | 
| 29       | 16         | 23              | 8        | 6            | 3             | 9              | 
| 30       | 29         | 36              | 8        | 18, 20, 24   | 4             | 3              | 
| 31       | 42         | 47              | 6        | 16, 27, 28   | 3             | 8              | 
| 32       | 47         | 47              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 25 not completed at time period 91? 

Write a brief explanation without listing reasons. 

OUTPUT:
