PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 6               | 6        | 1            | 1             | 7              | 
| 3        | 1          | 5               | 5        | 1            | 1             | 5              | 
| 4        | 1          | 9               | 9        | 1            | 1             | 3              | 
| 5        | 10         | 10              | 1        | 4            | 1             | 6              | 
| 6        | 11         | 17              | 7        | 5            | 3             | 10             | 
| 7        | 7          | 13              | 7        | 2            | 1             | 8              | 
| 8        | 12         | 14              | 3        | 5            | 1             | 6              | 
| 9        | 9          | 11              | 3        | 2            | 1             | 1              | 
| 10       | 21         | 27              | 7        | 6            | 1             | 4              | 
| 11       | 18         | 19              | 2        | 6            | 1             | 2              | 
| 12       | 18         | 20              | 3        | 6            | 1             | 8              | 
| 13       | 18         | 20              | 3        | 8            | 2             | 4              | 
| 14       | 26         | 35              | 10       | 7, 13        | 2             | 4              | 
| 15       | 33         | 35              | 3        | 9            | 3             | 4              | 
| 16       | 14         | 17              | 4        | 7            | 2             | 8              | 
| 17       | 28         | 34              | 7        | 2, 10, 11    | 1             | 10             | 
| 18       | 20         | 25              | 6        | 9            | 1             | 10             | 
| 19       | 26         | 27              | 2        | 7, 18        | 4             | 10             | 
| 20       | 7          | 8               | 2        | 3            | 2             | 5              | 
| 21       | 28         | 37              | 10       | 16, 19       | 1             | 3              | 
| 22       | 26         | 32              | 7        | 16           | 1             | 5              | 
| 23       | 35         | 35              | 1        | 17, 20, 22   | 4             | 6              | 
| 24       | 36         | 38              | 3        | 14, 23       | 1             | 3              | 
| 25       | 11         | 19              | 9        | 5            | 1             | 1              | 
| 26       | 26         | 26              | 1        | 12           | 1             | 9              | 
| 27       | 39         | 43              | 5        | 21, 24, 25   | 2             | 6              | 
| 28       | 28         | 31              | 4        | 16, 26       | 4             | 7              | 
| 29       | 44         | 51              | 8        | 15, 27       | 1             | 10             | 
| 30       | 43         | 50              | 8        | 14, 18, 28   | 2             | 2              | 
| 31       | 48         | 50              | 3        | 12, 23       | 1             | 8              | 
| 32       | 51         | 51              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 32 not completed at time period 129? 

Write a brief explanation without listing reasons. 

OUTPUT:
