PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 4               | 4        | 1            | 1             | 1              | 
| 3        | 1          | 3               | 3        | 1            | 4             | 2              | 
| 4        | 1          | 10              | 10       | 1            | 4             | 4              | 
| 5        | 5          | 14              | 10       | 2            | 3             | 1              | 
| 6        | 28         | 32              | 5        | 5            | 2             | 10             | 
| 7        | 5          | 5               | 1        | 2            | 2             | 3              | 
| 8        | 6          | 12              | 7        | 7            | 1             | 3              | 
| 9        | 15         | 18              | 4        | 5            | 4             | 1              | 
| 10       | 18         | 22              | 5        | 5            | 4             | 6              | 
| 11       | 11         | 17              | 7        | 7            | 4             | 6              | 
| 12       | 18         | 27              | 10       | 11           | 2             | 3              | 
| 13       | 19         | 20              | 2        | 9            | 2             | 7              | 
| 14       | 19         | 22              | 4        | 9            | 3             | 2              | 
| 15       | 23         | 27              | 5        | 14           | 2             | 5              | 
| 16       | 19         | 23              | 5        | 9            | 4             | 1              | 
| 17       | 28         | 31              | 4        | 12           | 4             | 4              | 
| 18       | 12         | 14              | 3        | 4            | 3             | 7              | 
| 19       | 23         | 29              | 7        | 10, 18       | 4             | 3              | 
| 20       | 5          | 10              | 6        | 2            | 1             | 8              | 
| 21       | 21         | 22              | 2        | 7, 13        | 3             | 2              | 
| 22       | 4          | 8               | 5        | 3            | 3             | 8              | 
| 23       | 21         | 28              | 8        | 13, 18, 20   | 1             | 10             | 
| 24       | 32         | 34              | 3        | 17, 21       | 3             | 7              | 
| 25       | 32         | 34              | 3        | 12           | 1             | 5              | 
| 26       | 29         | 30              | 2        | 22, 23       | 1             | 8              | 
| 27       | 35         | 44              | 10       | 14, 22, 25   | 3             | 5              | 
| 28       | 37         | 39              | 3        | 15, 24, 25   | 4             | 9              | 
| 29       | 40         | 44              | 5        | 16, 28       | 1             | 8              | 
| 30       | 35         | 39              | 5        | 6, 8, 26     | 1             | 7              | 
| 31       | 45         | 45              | 1        | 19, 23, 27   | 1             | 5              | 
| 32       | 45         | 45              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 16 completed at time period 23 instead of activity 12? 

Write a brief explanation without listing reasons. 

OUTPUT:
