PROMPT:
The project schedule problem is the problem of finding a schedule of activities that respect some precedence and resource restrictions while minimising the project completion time. In this context, provide an explanation to answer the following question about the solution of 32-activity project schedule problem. To do so, reason about the provided solution and the restrictions related to project scheduling. 
Solution: 
| activity | start_time | completion_time | duration | predecessors | resource_type | resource_units | 
|----------|------------|-----------------|----------|--------------|---------------|----------------| 
| 1        | 0          | 0               | 0        | nan          | -             | -              | 
| 2        | 1          | 4               | 4        | 1            | 2             | 10             | 
| 3        | 1          | 8               | 8        | 1            | 4             | 5              | 
| 4        | 1          | 10              | 10       | 1            | 2             | 4              | 
| 5        | 5          | 12              | 8        | 2            | 3             | 3              | 
| 6        | 5          | 8               | 4        | 2            | 3             | 2              | 
| 7        | 11         | 19              | 9        | 4            | 1             | 9              | 
| 8        | 5          | 6               | 2        | 2            | 3             | 9              | 
| 9        | 9          | 10              | 2        | 6            | 1             | 2              | 
| 10       | 9          | 10              | 2        | 3            | 3             | 8              | 
| 11       | 13         | 15              | 3        | 5, 6         | 2             | 2              | 
| 12       | 9          | 12              | 4        | 6            | 2             | 7              | 
| 13       | 13         | 20              | 8        | 12           | 1             | 6              | 
| 14       | 13         | 13              | 1        | 12           | 1             | 9              | 
| 15       | 9          | 12              | 4        | 3            | 1             | 10             | 
| 16       | 7          | 7               | 1        | 8            | 1             | 10             | 
| 17       | 21         | 29              | 9        | 13           | 3             | 2              | 
| 18       | 7          | 16              | 10       | 8            | 2             | 3              | 
| 19       | 14         | 19              | 6        | 10, 14       | 2             | 6              | 
| 20       | 17         | 21              | 5        | 18           | 1             | 3              | 
| 21       | 8          | 10              | 3        | 16           | 4             | 6              | 
| 22       | 30         | 35              | 6        | 3, 17        | 1             | 2              | 
| 23       | 11         | 20              | 10       | 4            | 3             | 10             | 
| 24       | 7          | 7               | 1        | 8            | 1             | 5              | 
| 25       | 20         | 21              | 2        | 19, 24       | 4             | 3              | 
| 26       | 20         | 22              | 3        | 7, 11, 21    | 3             | 7              | 
| 27       | 23         | 28              | 6        | 18, 25, 26   | 1             | 9              | 
| 28       | 22         | 24              | 3        | 9, 15, 20    | 2             | 10             | 
| 29       | 25         | 28              | 4        | 16, 25, 28   | 4             | 7              | 
| 30       | 29         | 36              | 8        | 13, 27       | 3             | 10             | 
| 31       | 36         | 38              | 3        | 22, 23, 24   | 3             | 1              | 
| 32       | 38         | 38              | 0        | 29, 30, 31   | -             | -              | 
Question: Why is activity 30 not completed at time period 97? 

Write a brief explanation without listing reasons. 

OUTPUT:
